column,classification,reason,feature_type,cardinality,variance
id,mandatory_removal,"id is unique for 175341/175341 rows (ratio=1.0) and correlates with binary label at r=0.7272, indicating rows were likely captured in blocks ordered by traffic/attack type — row position alone carries target signal.",numerical,175341,2562053468.5
dur,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,74039,41.993625
proto,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,133,499.63877
service,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,13,5.31372
state,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,9,0.753323
spkts,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,480,18738.214187
dpkts,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,443,12156.886232
sbytes,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,7214,30543030430.905754
dbytes,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,6660,20636534268.13333
rate,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,76991,27357483674.61877
sttl,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,11,10596.645876
dttl,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,6,12211.766809
sload,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,80885,3.54785278404343e+16
dload,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,77474,5862753683950.481
sloss,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,409,4356.667752
dloss,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,370,2780.769214
sinpkt,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,76161,52450124.820865
dinpkt,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,74245,974352.975111
sjit,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,77532,2021927353.187133
djit,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,76831,16492072.531184
swin,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,13,16129.260137
stcpb,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,75265,1.8367411853305004e+18
dtcpb,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,75089,1.8333147711792714e+18
dwin,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,7,16100.191379
tcprtt,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,43319,0.006297
synack,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,40142,0.001884
ackdat,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,37708,0.001641
smean,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,1357,41892.821528
dmean,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,1328,66727.701414
trans_depth,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,11,0.60359
response_body_len,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,2386,2938503718.161777
ct_srv_src,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,52,114.582707
ct_state_ttl,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,5,0.910891
ct_dst_ltm,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,50,64.842376
ct_src_dport_ltm,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,47,64.755886
ct_dst_sport_ltm,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,32,33.449856
ct_dst_src_ltm,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,54,120.038002
is_ftp_login,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,4,0.015888
ct_ftp_cmd,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,4,0.015888
ct_flw_http_mthd,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,numerical,11,0.491692
ct_src_ltm,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,50,69.247241
ct_srv_dst,candidate,"Involved in a highly correlated feature pair (|r| > 0.8, Task B.3). Retained — not removed solely for correlation, since Random Forest tolerates multicollinearity and removal without an empirical accuracy/explanation-quality comparison would be premature at this descriptive stage. Flagged for reconsideration once real modelling experiments exist.",numerical,52,115.712016
is_sm_ips_ports,final_baseline,No leakage evidence found; not involved in a highly correlated pair.,boolean,2,0.015504
label,mandatory_removal,"verify_label_consistency() confirms every 'attack_cat' class maps to exactly one 'label' value in both splits, with 0 exceptions (Normal->0, every attack class->1) — label is a deterministic duplicate of the target.",boolean,2,0.217377
